Server Name	ServerName	IPAddressOfSQLServer	name	last_backup_time	recovery_model_desc	state_desc	backup_type	physical_device_name
PRODMODLIMTDB - 10.181.8.105	PRODMODLIMTDB	10.181.8.105	ESB_ModularLimit	Mar 15 2026 12:00AM	FULL	ONLINE	Full database	X:\ESB_ModularLimit\ESB_ModularLimit_backup_2026_03_15_000003_5249956.bak
PRODMODLIMTDB - 10.181.8.105	PRODMODLIMTDB	10.181.8.105	master	Mar 15 2026 12:00AM	SIMPLE	ONLINE	Full database	X:\master\master_backup_2026_03_15_000003_5249956.bak
PRODMODLIMTDB - 10.181.8.105	PRODMODLIMTDB	10.181.8.105	model	Mar 15 2026 12:00AM	FULL	ONLINE	Full database	X:\model\model_backup_2026_03_15_000003_5249956.bak
PRODMODLIMTDB - 10.181.8.105	PRODMODLIMTDB	10.181.8.105	msdb	Mar 15 2026 12:00AM	SIMPLE	ONLINE	Full database	X:\msdb\msdb_backup_2026_03_15_000003_5249956.bak
DRNACHDB - 10.182.8.76 DR of 10.181.8.17	DRNACHDB	10.182.8.76	ESB_ENACH	Jun 26 2025  3:16PM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.181.8.17\Full\ESB_ENACH\ESB_ENACH_backup_2025_06_26_151641_7024244.bak
DRUPIPAYPRODDB - 10.182.8.59 DRof 10.71.36.94_2	FPBDRUPIPAYDB	10.182.8.59	PBUPIServiceTransactionInfo	Sep 20 2025 12:28AM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\18.182.8.59_DR_BACKUP\PBUPIServiceTransactionInfo_20092025.BAK
DRUPIPAYPRODDB - 10.182.8.59 DRof 10.71.36.94_2	FPBDRUPIPAYDB	10.182.8.59	PBUPIServiceConfiguration	Sep 20 2025 12:27AM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\18.182.8.59_DR_BACKUP\PBUPIServiceConfiguration_20092025.BAK
DRUPIPAYPRODDB - 10.182.8.59 DRof 10.71.36.94_2	FPBDRUPIPAYDB	10.182.8.59	PBUPIServiceTransactionInfo	Aug  2 2025  6:02PM	FULL	ONLINE	Differential database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.71.36.94\Diff\PBUPIServiceTransactionInfo\PBUPIServiceTransactionInfo_02082025.bak
DRUPIPAYPRODDB - 10.182.8.59 DRof 10.71.36.94_2	FPBDRUPIPAYDB	10.182.8.59	PBUPIServiceConfiguration	Aug  2 2025  5:56PM	FULL	ONLINE	Differential database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.71.36.94\Diff\PBUPIServiceConfiguration\PBUPIServiceConfiguration_02082025.bak
PRODADVDBHIS-10.181.8.104	PRODADVDBHIS	10.181.8.104	msdb	Mar  8 2026 10:13PM	SIMPLE	ONLINE	Full database	X:\msdb\msdb_backup_2026_03_08_194403_0487342.bak
PRODADVDBHIS-10.181.8.104	PRODADVDBHIS	10.181.8.104	master	Mar  8 2026 10:12PM	SIMPLE	ONLINE	Full database	X:\master\master_backup_2026_03_08_194403_0487342.bak
PRODADVDBHIS-10.181.8.104	PRODADVDBHIS	10.181.8.104	model	Mar  8 2026 10:12PM	FULL	ONLINE	Full database	X:\model\model_backup_2026_03_08_194403_0487342.bak
PRODADVDBHIS-10.181.8.104	PRODADVDBHIS	10.181.8.104	Aadhaar_Data_Vault_History	Mar  8 2026  7:44PM	FULL	ONLINE	Full database	X:\Aadhaar_Data_Vault_History\Aadhaar_Data_Vault_History_backup_2026_03_08_194403_0487342.bak
PRODADVDBHIS-10.181.8.104	PRODADVDBHIS	10.181.8.104	Aadhaar_Data_Vault	Jan 17 2026  7:17PM	FULL	ONLINE	Full database	Y:\Full\Aadhaar_Data_Vault\Aadhaar_Data_Vault_backup_2026_01_17_191753_2237427.bak
AEPSIMPS_DR_DB-10.182.8.75 DR of 10.71.36.91	FPBAEPSIMPSDRDB	10.182.8.75	ESB_NPCI_IMPS_XML	Jan 28 2026  1:30PM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.71.36.91\Full\ESB_NPCI_IMPS_XML_backup_2026_01_28_133005_5886953.bak
VIKRANSQLDB2-10.181.12.15	VIKRANTSQLDB2	10.181.12.15	Audit	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	U:\Diff\Audit\Audit_backup_2026_03_20_010002_1668905.bak
VIKRANSQLDB2-10.181.12.15	VIKRANTSQLDB2	10.181.12.15	Migration_Data	Mar 20 2026  1:00AM	SIMPLE	ONLINE	Differential database	U:\Diff\Migration_Data\Migration_Data_backup_2026_03_20_010002_1668905.bak
VIKRANSQLDB2-10.181.12.15	VIKRANTSQLDB2	10.181.12.15	model	Mar 20 2026  1:00AM	FULL	ONLINE	Differential database	U:\Diff\model\model_backup_2026_03_20_010002_1668905.bak
VIKRANSQLDB2-10.181.12.15	VIKRANTSQLDB2	10.181.12.15	msdb	Mar 20 2026  1:00AM	SIMPLE	ONLINE	Differential database	U:\Diff\msdb\msdb_backup_2026_03_20_010002_1668905.bak
VIKRANSQLDB2-10.181.12.15	VIKRANTSQLDB2	10.181.12.15	Audit	Mar 15 2026  9:09PM	FULL	ONLINE	Full database	X:\Audit\Audit_backup_2026_03_15_010002_3576664.bak
VIKRANSQLDB2-10.181.12.15	VIKRANTSQLDB2	10.181.12.15	master	Mar 15 2026  1:00AM	SIMPLE	ONLINE	Full database	X:\master\master_backup_2026_03_15_010002_3576664.bak
VIKRANSQLDB2-10.181.12.15	VIKRANTSQLDB2	10.181.12.15	Migration_Data	Mar 15 2026  1:00AM	SIMPLE	ONLINE	Full database	X:\Migration_Data\Migration_Data_backup_2026_03_15_010002_3576664.bak
